instrument_name,date,expiry,strike,option_type,spot,bid_price,ask_price,mark_price,mark_iv,price_btc,price_usd,open_interest,volume_24h,time_to_expiry,iv,delta
BTC-27FEB26-75000-P,2026-01-18 06:52:17.243140,2026-02-27,75000.0,put,95147.53,0.0037,0.004,0.0038512,47.87,0.0038512,366.432167536,1383.1,0,0.10684931506849316,0.47869999999999996,-0.054926666064380354
BTC-26JUN26-210000-P,2026-01-18 06:52:17.243147,2026-06-26,210000.0,put,95147.53,1.153,1.171,1.16129027,50.42,1.16129027,110493.9008035331,0.0,0,0.4328767123287671,0.5042,-0.9868126493027513
BTC-23JAN26-80000-C,2026-01-18 06:52:17.243186,2026-01-23,80000.0,call,95147.53,0.159,0.161,0.15966848,59.94,0.15966848,15192.0614908544,0.3,0,0.010958904109589041,0.5993999999999999,0.9974037132166307
BTC-6FEB26-98000-P,2026-01-18 06:52:17.243208,2026-02-06,98000.0,put,95147.53,0.0485,0.05,0.04947877,36.42,0.04947877,4707.7827529381,9.4,0,0.049315068493150684,0.3642,-0.6273295331879631
BTC-27FEB26-95000-C,2026-01-18 06:52:17.243221,2026-02-27,95000.0,call,95147.53,0.053,0.054,0.05347796,38.33,0.05347796,5088.295803438799,1097.0,0,0.10684931506849316,0.3833,0.5299050429690181
BTC-25SEP26-190000-C,2026-01-18 06:52:17.243233,2026-09-25,190000.0,call,95147.53,0.0095,0.0105,0.00980773,46.78,0.00980773,933.1812844069001,649.7,0,0.6821917808219178,0.4678,0.05516057800714209
BTC-26JUN26-170000-P,2026-01-18 06:52:17.243241,2026-06-26,170000.0,put,95147.53,0.747,0.761,0.753372,46.0,0.753372,71681.48497116,0.8,0,0.4328767123287671,0.46,-0.9613276931038809
BTC-23JAN26-97000-P,2026-01-18 06:52:17.243249,2026-01-23,97000.0,put,95147.53,0.0275,0.029,0.02829875,36.1,0.02829875,2692.5561645875,45.0,0,0.010958904109589041,0.361,-0.6884062987711541
BTC-23JAN26-92000-P,2026-01-18 06:52:17.243256,2026-01-23,92000.0,put,95147.53,0.0055,0.0065,0.00601214,39.05,0.00601214,572.0402710142,1312.7,0,0.010958904109589041,0.39049999999999996,-0.19951655950865527
BTC-30JAN26-115000-C,2026-01-18 06:52:17.243263,2026-01-30,115000.0,call,95147.53,0.0002,0.0005,0.00032567,45.02,0.00032567,30.9866960951,2064.5,0,0.030136986301369864,0.45020000000000004,0.008524625779219967
BTC-27MAR26-65000-P,2026-01-18 06:52:17.243270,2026-03-27,65000.0,put,95147.53,0.0034,0.0036,0.00352512,53.4,0.00352512,335.4064609536,1277.1,0,0.18356164383561643,0.534,-0.03754816437979164
